,text,labels
0,아 더빙 진짜 짜증나네요 목소리,0
1,흠 포스터 보고 초딩영화 오버연기 조차 가볍지 않구나,1
2,너무 재밓었다 그래서 보는 것을 추천한다,0
3,교도소 이야기구먼 솔직히 재미는 없다 평점 조정,0
4,사이몬페그의 익살스런 연기가 돋보였던 영화 스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1
5,막 걸음마 뗀 3세부터 초등학교 1학년생인   8살용영화 별반개도 아까움,0
6,원작의 긴장감을 제대로 살려내지못했다,0
7,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이 몇년인지 정말 발로해도 그것보단 낫겟다 납치 감금만반복반복 이 드라마는 가족도없다 연기못하는 사람만 모엿네,0
8,액션이 없는데도 재미있는 몇안되는 영화,1
9,왜케 평점이 낮은건데 꽤 볼만한데 헐리우드식 화려함에만 너무 길들여져 있나,1
10,걍인피니트가 짱이다 진짜짱이다,1
11,볼때마다 눈물나서 죽겠다 90년대의 향수자극 허진호는 감성절제멜로의 달인이다,1
12,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,0
13,담백하고 깔끔해서 좋다 신문기사로만 보다 보면 자꾸 잊어버린다 그들도 사람이었다는  것을,1
14,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,0
15,ㄱ냥 매번 긴장되고 재밋음,1
16,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다 그냥 까고 싶어서 안달난것처럼 보인다,1
17,굿바이 레닌 표절인 것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,0
18,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드,1
19,약탈자를 위한 변명 이라 저놈들은 착한놈들 절대 아닌걸요,1
20,나름 심오한 뜻도 있는 듯 그냥 학생이 선생과 놀아나는 영화는 절대 아님,1
21,보면서 웃지 않는 건 불가능하다,1
22,재미없다 지루하고 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남 바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 이건 볼게없다 음식도 별로 안나오고 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴,0
23,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다,1
24,주제는 좋은데 중반부터 지루하다,0
25,다 짤랐을꺼야 그래서 납득할 수 없었던거야 그럴꺼야 꼭 그랬던걸꺼야,0
26,kl2g 고추를 털어버려야 할텐데,1
27,카밀라벨 발연기,0
28,재밋는뎅,1
29,센스있는 연출력 탁월한 캐스팅 90년대의 향수 그래서 9점,1
30,엄포스의 위력을 다시 한번 깨닫게 해준 적 남 꽃검사님도 연기 정말 좋았어요 완전 명품드라마,1
31,졸쓰레기 진부하고말도안됌 아 시간아까워,0
32,재밌는데 별점이 왜이리 낮은고,1
33,1%라도 기대했던 내가 죄인입니다 죄인입니다,0
34,아직도 이 드라마는 내인생의 최고,1
35,패션에 대한 열정 안나 윈투어,1
36,키이라 나이틀리가 연기하고자 했던건 대체 정신장애일까 틱장애일까,0
37,허허 원작가 정신나간 유령이라 재미있겠네요,1
38,포스터는 있어보이는데 관객은 114명이네,0
39,이 영화가 왜 이렇게 저평가 받는지 모르겠다,1
40,단순하면서 은은한 매력의 영화,1
41,다 알바생인가 내용도 없고 무서운거도 없고 웃긴거도 하나도 없음 완전 별싱거운 영화 내 ㅇ시간 넘 아까움 완전 낚임,0
42,오게두어라 서리한이 굶주렸다,1
43,정말 맘에 들어요 그래서 또 보고싶은데 또 보는 방법이 없네,1
44,윤제문이라는 멋진 배우를 발견하게 됐어요 소소한 일탈이 잔잔한 미소를 머금게 합니다 음악은 조금 아쉽네요ㅠㅠ 8점 주고 싶은데 평점 올리고 싶어 10점 줄게요,1
45,평점에 속지마시길 시간낭비 돈낭비임,0
46,리얼리티가 뛰어나긴 한데 큰 공감은 안간다 이민기 캐릭터는 정신의학상 분노조절장애 초기 증상일거다 툭하면 사람패고 욕하고 물건 파손하고 조금 오바였음 극 초반엔 신선했는데 가면 갈수록 이민기 정신상태 공감불가.,0
47,마이너스는 왜없냐 뮤비 보고 영화수준 딱 알만하더군 북한에서 이런거 만들라고 돈 대주던,0
48,난 우리영화를 사랑합니다,0
49,데너리스 타르 가르엔 나도 용의주인이 되고 싶다 누이랑 근친상간이나 하고 다닐지라도 소설 속에선 제일 멋진 놈이 자이메 라니스터였는데 드라마속에선 드래곤 용이 제일 멋지네 웃음 감독님 토르-2 다크 월드는 말아 잡수셨을지라도 기본 선방은 했음,1
50,영화가 사람의 영혼을 어루만져 줄 수도 있군요 거친 세상사를 잠시 잊고 동화같은 영화에 행복했네요,1
51,야 세르게이 작은고추의 매운맛을 보여주마 포퐁저그 콩진호가 간다,0
52,이렇게 가슴시리게 본 드라마가 또 있을까 감동 그 자체,1
53,난또 저 꼬마애가 무슨 원한이 깊길래 했더니 그냥 혼자 나대다 OO걸 어쩌라고,0
54,재미있어요,1
55,전 좋아요,1
56,최고,0
